Date,Abertura,Máxima,Mínima,Fechamento
2023-01-02,23.54,23.809999465942383,22.799999237060547,22.920000076293945
2023-01-03,22.94,23.100000381469727,22.1299991607666,22.34000015258789
2023-01-04,21.96,23.59000015258789,21.829999923706055,23.049999237060547
2023-01-05,23.34,24.040000915527344,23.149999618530273,23.8799991607666
2023-01-06,23.94,24.31999969482422,23.549999237060547,23.739999771118164
2023-01-09,23.5,24.0,23.25,23.8700008392334
2023-01-10,23.95,24.110000610351562,23.3700008392334,24.09000015258789
2023-01-11,24.15,24.6200008392334,24.049999237060547,24.280000686645508
2023-01-12,24.29,24.649999618530273,24.110000610351562,24.6299991607666
2023-01-13,24.44,24.65999984741211,24.25,24.56999969482422
2023-01-16,24.41,24.5,23.829999923706055,24.040000915527344
2023-01-17,24.11,25.6200008392334,24.110000610351562,25.520000457763672
2023-01-18,25.84,26.030000686645508,25.0,25.06999969482422
2023-01-19,25.0,25.950000762939453,24.790000915527344,25.889999389648438
2023-01-20,25.89,26.600000381469727,25.420000076293945,26.3700008392334
2023-01-23,26.27,27.600000381469727,26.1299991607666,26.790000915527344
2023-01-24,27.47,27.530000686645508,26.3700008392334,26.600000381469727
2023-01-25,26.55,27.079999923706055,26.010000228881836,26.940000534057617
2023-01-26,27.09,27.200000762939453,25.799999237060547,26.25
2023-01-27,26.18,26.229999542236328,25.440000534057617,25.6200008392334
2023-01-30,25.85,26.06999969482422,25.510000228881836,25.75
2023-01-31,25.63,26.209999084472656,25.520000457763672,26.06999969482422
2023-02-01,26.07,26.479999542236328,25.450000762939453,25.709999084472656
2023-02-02,25.51,25.809999465942383,24.420000076293945,24.520000457763672
2023-02-03,24.54,25.3799991607666,24.420000076293945,24.790000915527344
2023-02-06,24.87,25.8700008392334,24.75,25.780000686645508
2023-02-07,25.91,26.139999389648438,25.459999084472656,25.6200008392334
2023-02-08,25.8,26.149999618530273,25.559999465942383,26.049999237060547
2023-02-09,26.05,26.31999969482422,25.790000915527344,25.93000030517578
2023-02-10,25.98,26.790000915527344,25.93000030517578,26.719999313354492
2023-02-13,26.69,26.889999389648438,26.3700008392334,26.799999237060547
2023-02-14,26.85,27.059999465942383,26.600000381469727,26.700000762939453
2023-02-15,26.58,26.799999237060547,26.299999237060547,26.739999771118164
2023-02-16,26.6,26.950000762939453,26.489999771118164,26.850000381469727
2023-02-17,26.67,26.670000076293945,26.3700008392334,26.440000534057617
2023-02-22,26.0,26.110000610351562,25.690000534057617,25.760000228881836
2023-02-23,25.77,26.790000915527344,25.770000457763672,26.549999237060547
2023-02-24,26.67,26.700000762939453,25.8700008392334,25.899999618530273
2023-02-27,25.84,26.739999771118164,25.809999465942383,26.149999618530273
2023-02-28,26.21,26.920000076293945,25.239999771118164,25.239999771118164
2023-03-01,25.31,25.43000030517578,24.190000534057617,25.299999237060547
2023-03-02,25.42,25.670000076293945,24.3700008392334,24.639999389648438
2023-03-03,24.83,25.739999771118164,24.450000762939453,25.700000762939453
2023-03-06,25.7,26.1200008392334,25.3700008392334,25.959999084472656
2023-03-07,25.72,25.780000686645508,24.93000030517578,25.100000381469727
2023-03-08,25.15,25.920000076293945,25.1299991607666,25.420000076293945
2023-03-09,25.35,26.229999542236328,25.280000686645508,25.309999465942383
2023-03-10,25.16,25.579999923706055,24.940000534057617,24.979999542236328
2023-03-13,24.55,24.860000610351562,24.100000381469727,24.190000534057617
2023-03-14,24.28,24.729999542236328,23.600000381469727,23.760000228881836
2023-03-15,23.33,23.479999542236328,22.799999237060547,23.34000015258789
2023-03-16,23.4,23.520000457763672,22.969999313354492,23.260000228881836
2023-03-17,23.1,23.510000228881836,22.860000610351562,23.510000228881836
2023-03-20,23.51,23.649999618530273,22.889999389648438,22.93000030517578
2023-03-21,23.2,23.600000381469727,23.079999923706055,23.399999618530273
2023-03-22,23.39,23.6200008392334,23.040000915527344,23.329999923706055
2023-03-23,23.37,23.670000076293945,22.59000015258789,22.799999237060547
2023-03-24,22.71,23.1299991607666,22.479999542236328,22.790000915527344
2023-03-27,23.11,23.360000610351562,22.829999923706055,23.18000030517578
2023-03-28,23.22,23.639999389648438,23.149999618530273,23.59000015258789
2023-03-29,23.71,24.040000915527344,23.469999313354492,23.899999618530273
2023-03-30,24.25,24.280000686645508,23.68000030517578,23.969999313354492
2023-03-31,24.0,24.219999313354492,23.209999084472656,23.450000762939453
2023-04-03,24.09,24.5,23.799999237060547,24.489999771118164
2023-04-04,24.63,24.760000228881836,24.100000381469727,24.270000457763672
2023-04-05,24.19,24.530000686645508,23.270000457763672,24.350000381469727
2023-04-06,24.34,24.420000076293945,23.950000762939453,24.0
2023-04-10,24.03,24.65999984741211,24.030000686645508,24.510000228881836
2023-04-11,24.7,25.700000762939453,24.6299991607666,25.65999984741211
2023-04-12,25.98,26.149999618530273,25.18000030517578,25.850000381469727
2023-04-13,25.85,26.09000015258789,25.799999237060547,26.030000686645508
2023-04-14,25.8,26.399999618530273,25.719999313354492,26.299999237060547
2023-04-17,26.24,26.799999237060547,26.209999084472656,26.709999084472656
2023-04-18,26.71,27.6200008392334,26.520000457763672,27.389999389648438
2023-04-19,27.16,27.309999465942383,26.450000762939453,26.510000228881836
2023-04-20,26.52,26.979999542236328,26.290000915527344,26.690000534057617
2023-04-24,26.6,27.260000228881836,26.5,27.200000762939453
2023-04-25,27.16,27.5,26.719999313354492,27.09000015258789
2023-04-26,27.12,27.219999313354492,26.75,26.75
2023-04-27,26.85,27.18000030517578,25.90999984741211,26.100000381469727
2023-04-28,23.6,24.049999237060547,23.149999618530273,23.700000762939453
2023-05-02,23.7,23.739999771118164,22.639999389648438,22.739999771118164
2023-05-03,22.6,22.989999771118164,22.420000076293945,22.65999984741211
2023-05-04,22.89,23.3799991607666,22.610000610351562,23.020000457763672
2023-05-05,23.3,24.170000076293945,23.18000030517578,24.0
2023-05-08,24.45,24.6299991607666,24.209999084472656,24.510000228881836
2023-05-09,24.41,24.799999237060547,24.239999771118164,24.59000015258789
2023-05-10,24.59,24.81999969482422,24.329999923706055,24.530000686645508
2023-05-11,24.13,25.479999542236328,23.93000030517578,25.43000030517578
2023-05-12,25.58,26.739999771118164,25.479999542236328,26.25
2023-05-15,26.06,26.149999618530273,25.399999618530273,25.65999984741211
2023-05-16,26.11,27.030000686645508,26.079999923706055,26.299999237060547
2023-05-17,26.6,26.760000228881836,25.510000228881836,25.65999984741211
2023-05-18,25.59,25.709999084472656,25.350000381469727,25.6299991607666
